ADAM33 	ALOX5  	0.0059584
ADAM33 	ARG1   	0.0015105
ADAM33 	BCL6   	0.0074544
ADAM33 	CCL11  	0.010338
ADAM33 	CCL17  	0.0090055
ADAM33 	CCL2   	0.0091392
ADAM33 	CCL22  	0.0084402
ADAM33 	CCL24  	0.006836
ADAM33 	CCL26  	0.0079787
ADAM33 	CCL5   	0.0085945
ADAM33 	CCL8   	0.0067733
ADAM33 	CCR3   	0.0082897
ADAM33 	CCR4   	0.007723
ADAM33 	CCR8   	0.0075643
ADAM33 	CD40LG 	0.0091324
ADAM33 	CLC    	0.0014867
ADAM33 	CLCA1  	0.0041216
ADAM33 	CMA1   	0.0056369
ADAM33 	CRLF2  	0.0062101
ADAM33 	CSF2   	0.009303
ADAM33 	CSF3R  	0.0063692
ADAM33 	CYSLTR1	0.0039322
ADAM33 	EPX    	0.0014867
ADAM33 	FCER1A 	0.0038302
ADAM33 	FOXP3  	0.0093751
ADAM33 	GATA3  	0.0090785
ADAM33 	GPR44  	0.0072864
ADAM33 	ICOS   	0.008434
ADAM33 	IFNG   	0.010525
ADAM33 	IFNGR2 	0.0083541
ADAM33 	IL10   	0.010865
ADAM33 	IL12A  	0.0096236
ADAM33 	IL12B  	0.012001
ADAM33 	IL13   	0.011217
ADAM33 	IL13RA1	0.018259
ADAM33 	IL13RA2	0.018259
ADAM33 	IL17A  	0.0092861
ADAM33 	IL17RB 	0.0067299
ADAM33 	IL18   	0.0091077
ADAM33 	IL1RL1 	0.0077
ADAM33 	IL21   	0.0092667
ADAM33 	IL25   	0.0085521
ADAM33 	IL2RA  	0.011904
ADAM33 	IL3    	0.009663
ADAM33 	IL33   	0.00853
ADAM33 	IL3RA  	0.014027
ADAM33 	IL4    	0.010647
ADAM33 	IL4R   	0.039401
ADAM33 	IL5    	0.0097201
ADAM33 	IL5RA  	0.0082421
ADAM33 	IL9    	0.011052
ADAM33 	KIT    	0.0093432
ADAM33 	KITLG  	0.0078998
ADAM33 	LTB4R  	0.0042458
ADAM33 	MAF    	0.0067908
ADAM33 	MMP9   	0.0085959
ADAM33 	MS4A2  	0.0012606
ADAM33 	PDCD1  	0.0062737
ADAM33 	POSTN  	0.0013778
ADAM33 	PPARG  	0.0083852
ADAM33 	RETNLB 	0.0044445
ADAM33 	RNASE2 	0.0014867
ADAM33 	RNASE3 	0.0041452
ADAM33 	RORC   	0.0076838
ADAM33 	SATB1  	0.0074419
ADAM33 	STAT5A 	0.010398
ADAM33 	STAT6  	0.01181
ADAM33 	TBX21  	0.0094783
ADAM33 	TGFB1  	0.0088588
ADAM33 	TNFRSF4	0.0064843
ADAM33 	TNFSF4 	0.0023191
ADAM33 	TSLP   	0.0090082
ALOX5  	ARG1   	0.0017946
ALOX5  	BCL6   	0.012365
ALOX5  	CCL11  	0.012283
ALOX5  	CCL17  	0.012466
ALOX5  	CCL2   	0.013067
ALOX5  	CCL22  	0.01237
ALOX5  	CCL24  	0.011197
ALOX5  	CCL26  	0.011711
ALOX5  	CCL5   	0.012751
ALOX5  	CCL8   	0.011004
ALOX5  	CCR3   	0.012246
ALOX5  	CCR4   	0.011666
ALOX5  	CCR8   	0.011576
ALOX5  	CD40LG 	0.013834
ALOX5  	CLC    	0.0029571
ALOX5  	CLCA1  	0.0053772
ALOX5  	CMA1   	0.037256
ALOX5  	CRLF2  	0.010065
ALOX5  	CSF2   	0.015984
ALOX5  	CSF3R  	0.013216
ALOX5  	CYSLTR1	0.068208
ALOX5  	EPX    	0.0029571
ALOX5  	FCER1A 	0.0053424
ALOX5  	FOXP3  	0.012837
ALOX5  	GATA3  	0.012665
ALOX5  	GPR44  	0.011466
ALOX5  	ICOS   	0.012375
ALOX5  	IFNG   	0.013224
ALOX5  	IFNGR2 	0.010565
ALOX5  	IL10   	0.013167
ALOX5  	IL12A  	0.012309
ALOX5  	IL12B  	0.0126
ALOX5  	IL13   	0.013034
ALOX5  	IL13RA1	0.011557
ALOX5  	IL13RA2	0.011557
ALOX5  	IL17A  	0.013285
ALOX5  	IL17RB 	0.011955
ALOX5  	IL18   	0.016281
ALOX5  	IL1RL1 	0.014079
ALOX5  	IL21   	0.013341
ALOX5  	IL25   	0.012948
ALOX5  	IL2RA  	0.013346
ALOX5  	IL3    	0.014797
ALOX5  	IL33   	0.013764
ALOX5  	IL3RA  	0.014124
ALOX5  	IL4    	0.013154
ALOX5  	IL4R   	0.012475
ALOX5  	IL5    	0.014158
ALOX5  	IL5RA  	0.014823
ALOX5  	IL9    	0.01556
ALOX5  	KIT    	0.016502
ALOX5  	KITLG  	0.026936
ALOX5  	LTB4R  	0.059024
ALOX5  	MAF    	0.010434
ALOX5  	MMP9   	0.013301
ALOX5  	MS4A2  	0.0019424
ALOX5  	PDCD1  	0.0097168
ALOX5  	POSTN  	0.0019889
ALOX5  	PPARG  	0.01226
ALOX5  	RETNLB 	0.0049876
ALOX5  	RNASE2 	0.0029571
