ADAM33 	ADRB2  	0.047355
ADAM33 	ALOX5  	0.01004
ADAM33 	AREG   	0.0060267
ADAM33 	ARG1   	0.010848
ADAM33 	BCL6   	0.011127
ADAM33 	CCL11  	0.011659
ADAM33 	CCL17  	0.011253
ADAM33 	CCL2   	0.011268
ADAM33 	CCL22  	0.011264
ADAM33 	CCL24  	0.011343
ADAM33 	CCL26  	0.011312
ADAM33 	CCL5   	0.011225
ADAM33 	CCL8   	0.011113
ADAM33 	CCR3   	0.011267
ADAM33 	CCR4   	0.011259
ADAM33 	CCR8   	0.011359
ADAM33 	CD40LG 	0.011349
ADAM33 	CHI3L1 	0.061831
ADAM33 	CHIA   	0.0099037
ADAM33 	CLC    	0.0086745
ADAM33 	CLCA1  	0.0095045
ADAM33 	CMA1   	0.010577
ADAM33 	CPA3   	0.010031
ADAM33 	CRLF2  	0.010699
ADAM33 	CSF2   	0.011141
ADAM33 	CSF3R  	0.011103
ADAM33 	CYSLTR1	0.010166
ADAM33 	EPX    	0.01024
ADAM33 	FCER1A 	0.010426
ADAM33 	FOXP3  	0.011372
ADAM33 	GATA3  	0.011275
ADAM33 	GPR44  	0.012746
ADAM33 	ICOS   	0.011226
ADAM33 	IFNG   	0.011332
ADAM33 	IFNGR2 	0.011715
ADAM33 	IL10   	0.011345
ADAM33 	IL12A  	0.011361
ADAM33 	IL12B  	0.013505
ADAM33 	IL13   	0.011604
ADAM33 	IL13RA1	0.011302
ADAM33 	IL13RA2	0.011326
ADAM33 	IL17A  	0.011257
ADAM33 	IL17RB 	0.011004
ADAM33 	IL18   	0.011322
ADAM33 	IL1RL1 	0.011161
ADAM33 	IL21   	0.011342
ADAM33 	IL25   	0.011321
ADAM33 	IL2RA  	0.011245
ADAM33 	IL3    	0.011212
ADAM33 	IL31   	0.0089217
ADAM33 	IL33   	0.011327
ADAM33 	IL3RA  	0.011151
ADAM33 	IL4    	0.011548
ADAM33 	IL4R   	0.011782
ADAM33 	IL5    	0.011126
ADAM33 	IL5RA  	0.011218
ADAM33 	IL9    	0.011186
ADAM33 	KIT    	0.010868
ADAM33 	KITLG  	0.01094
ADAM33 	LTB4R  	0.009598
ADAM33 	MAF    	0.011174
ADAM33 	MMP9   	0.010975
ADAM33 	MRC1   	0.011063
ADAM33 	MS4A2  	0.010799
ADAM33 	PDCD1  	0.011076
ADAM33 	PMCH   	0.0091774
ADAM33 	POSTN  	0.0060624
ADAM33 	PPARG  	0.011261
ADAM33 	PRG2   	0.0090386
ADAM33 	RETNLB 	0.010867
ADAM33 	RNASE2 	0.010231
ADAM33 	RNASE3 	0.010594
ADAM33 	RORC   	0.011541
ADAM33 	SATB1  	0.010975
ADAM33 	SIGLEC8	0.0062843
ADAM33 	STAT5A 	0.011206
ADAM33 	STAT6  	0.011324
ADAM33 	TBX21  	0.011413
ADAM33 	TGFB1  	0.011351
ADAM33 	TNFRSF4	0.011246
ADAM33 	TNFSF4 	0.011188
ADAM33 	TSLP   	0.011304
ADRB2  	ALOX5  	0.0070748
ADRB2  	AREG   	0.0042766
ADRB2  	ARG1   	0.0080967
ADRB2  	BCL6   	0.0085843
ADRB2  	CCL11  	0.010333
ADRB2  	CCL17  	0.0090202
ADRB2  	CCL2   	0.009261
ADRB2  	CCL22  	0.0090175
ADRB2  	CCL24  	0.0091707
ADRB2  	CCL26  	0.008913
ADRB2  	CCL5   	0.0091006
ADRB2  	CCL8   	0.0082182
ADRB2  	CCR3   	0.0091276
ADRB2  	CCR4   	0.0089064
ADRB2  	CCR8   	0.0091828
ADRB2  	CD40LG 	0.009376
ADRB2  	CHI3L1 	0.14138
ADRB2  	CHIA   	0.0067657
ADRB2  	CLC    	0.0055812
